,low_comment_True
956,"내가 숨쉬는 이곳 여기 

현실이 아니더라도 세상 모든일엔 무엇이든 의미가있어 

지금 내 곁에 있는 모두가 

진실이 아니더라도 

네가 있는것만으로도 의미가 있어 

언제까지나 빛을 잃지않도록 

내 곁에서 영원히 날 지켜줘(날 지켜줘) 

지치지 않도록 

눈을 떠라 눈을 떠라 

내 안에 잠든 미래 

잠시라도 쉬어갈 시간이 없어 

할 수 있어 할 수 있어 

진실을 가져봐 

잃어버린 내일찾아 내일을 찾아 

자 떠라떠라 눈을 떠라 

그래 있어있어 할 수 있어 

좀 더 힘을 내 조금만 더 달려가 

내가 찾던 그 길이 여기 있어(여기 있어) 

그 길을 밝혀줘 

눈을 떠라 눈을 떠라 

내 안에 잠든 미래 

잠시라도 쉬어갈 시간이 없어 

할 수 있어 할 수 있어 

진실을 가져봐 

잃어버린 내일찾아 내일을 찾아(내일을 찾아 찾!아!)"
957,끝까지 사서피지는 않는구만
958,근데 주시은 못듣는다면서 어떻게 피해란 소리듣고 뒤돌아 봄?
959,"그
럼
나
도
댓
글
많
아
보
이
게
끔
동
참
할
게
꺄
르
륵
~
☆
"
960,쇠파이프에 머리 맞아서 기억력 떨어진 사람은 전국장이 아니라 기안이라는게 학계의 정설
961,"사람을 찾습니다.
이름 :  로리키아노 
직업 : 마법사 
성별 : 여성 
나이 : 많음 ( 하지만 외모는 10대 후반 )"
962,이대로만 갑시다 양영순작가님
963,동까의 다이어트로 이어가다가 똥싸다 만거 마냥 끊어놓고 갑자기 다른 전개로 빠져버리네 여기 대부분이 동까 얼굴때문에 결제 했을텐데 요즘은 어떻게든 내용 길게 끄는게 유행인가봐?  주로 오래 연재해서 슬슬 끝이보이는 웹툰들이 계속 과거회상씬 이나 새로운인물 등장시키고 원래 진행되던 에피에서 계속해서 탈선하면서 새로운 전개를 이어가고 질질끌던데 이 웹툰도 오래 끌어야하니까 임펙트 있을만한 떡밥으로 동까 다이어트시켜서 궁금증 유발해놓고 다른 에피로 질질끌다 한참 뒤에야 떡밥 회수 하는식으로 오래 연재하려고 하는건가? 지금 풀어버리면 아까워서?ㅋㅋ
964,진호빈은 선글벗겨저서 분노하고 이태성은 밴드~ 또 장현은 애건드려서 분노할테고 이진성은 포마드려나?ㅋㅋ
965,"별점과 월급은 관계없습니다.
작가를 평가하는 기준은 될수있지만
기본적으로 조회수를 중심으로 
월급이 책정됩니다.
감사합니다."
966,크킄...그래 일주일 정도는 지각해야 내가 정한 작가지..
967,이번 회차 연출 되게 인상깊네요. 영화에서나 나오는 시간이 느려졌다 빨라졌다 하는 감각이 고스란히 느껴져요. 짧은 시간에 일어난 일을 세세하게 푸는 건 만화에서 종종 나오지만 이건 시간의 갑작스런 변화가 확 느껴져서 신기하구먼유.
968,"있는 그대로의 나를 봐주기 전에
내 스스로를 알아보고 가꾸어야 겠구나."
969,아주 정밀하군
970,님들 203호 저승사자 봐보세요ㅋㅋ 개웃김
971,엄마인가
972,"근데 가츠 막스  발락   다들 고산가 스파이였는데,  갈아탄거야?  기억을 못하는거야?"
973,"샵: 드디어 만나는군, 공자. 뭐야, 실물이 훨씬 더 깜찍하고 귀엽네.
공자: 샤… 정말 예쁜 이름이네요."
974,일단 비누좀 주어봐
975,자칭 덴경대들 그동안 스토리 하나로 커버치다가 설정오류나고 빤스런 각 보이니까 칼같이 돌아서네.. ㅋㅋㅋ 진작 이런 반응이 나왔어야 됐는데 ㅋㅋ
976,휴재하는동안 세이브 많이쌓은듯...
977,갑자기 재밌어지니까 적응이 안되는데....;?;;;;;그런데 휴재라니 ㅋㅋㅋㅋ이게 무슨소리야!! 재밌을때 휴재라 아쉽지만 재충전 하시고 오세요!
978,"후전드도 반한 돼지불백 레시피
먼저 고기를 양념해줄 간장양념을 준비하는데요~ 간장,맛술,설탕은 1:1:1 비율로 준비, 다진마늘 1스푼 그리고 다진생강대신 생강가루 반T스푼 정도 준비해주었어요.	
간 배 대신 저는 배음료로 1컵 넣어 섞어주었어요. 없으면 안넣어도 상관없다고 해요~	
그리고 송송썰은 대파 1컵도 넣어주고 참기름도 3스푼, 후추가루 톡톡 뿌려주면 양념 완성!	
고기는 한겹한겹 떼어서 양념장에 퐁당~ 넣어 주물주물 양념이 잘 베이게 재워주었어요~!	
팬에 이제 고기를 넣고 물을 반컵정도 넣어 구워주었어요. 불고기의 경우 한장씩 뒤집어 굽기가 어렵기 때문에 물을 넣고 졸이듯이 볶아주어야 된다고 하더라구요 ㅎ.ㅎ	
그리고 저는 양파도 썰어 넣어주었어요~ 국물이 다 졸아들때까지 잘 볶아주면 끝^^	
적당히 졸아지면 그릇에 옮겨담아 통깨까지 뿌려주면 맛있는 돼지불고기 완성"
979,일하느라 건강을 잃어버린 사람입니다 아프시다고요? 그럼 진짜 더 아프기전에 쉬세요! ㅠㅠ 회복이 안됩니다 나이들어 아프니 더 회복이 안된다고요....
980,"반장좀 줄여주세요
현기증난단말이에요"
981,솔직히 이 작가가 돼지작가처럼 건성으로 그려서 날로 먹는것도 아닌데 굳이 들어와서 비판하는건 조금 거시기하네요..
982,(대충 저걸로 베댓이 된다는게 신기한 댓)
983,야 나도 다이어트 비결좀알려주라
984,"짐덩어리(반장)를 버리시겠습니까?

1. 수락
2. 예
3. 그리하겠소
4. 오브 코올스
5. 버린다
6. 확인
7. 네
8. 하오
9. 예스
10. 굳 아이디어"
985,박무봉 진짜 역겹네ㅋㅋㅋ 진모리가 피해끼친게 있나? 신이랑 여태껏 싸우기만했지 혹은 자기가 산정상에 등정못하는 질투인가?ㅋㅋㅋ
986,하나님.. 우리가족을 평화로 이끄시고 저 학교생활 잘 할 수 있도록 도와주시옵소서.
987,건물에서만 몇화냐 ㅋㅋㅋㅋㅋㅋㅋㅋ 그리다가 스토리 생각않나서 질질끄는거샅은 전개는 소름임.... 드라마였으면 1분짜리도 아닐거같은데 작가님 힘내세요 덕분에 제쿠키 아낍니다 
988,독자들의 피드백들 단순 악플로만 여기지 마시고 반응 잘 봐주세요 작가님..전개가 너무 느리고 일부 캐릭터들 매력이 쇠퇴하네요...
989,연재일에 보거나 완결나오면 볼께요  미리보기에는 아깝네요 힘내세요
990,반복이여서 이제쫌지겹네요
991,하으응...하아앙...!
992,"별점 이해 안되시는 분들 작가의 말을 주의해주세요, 계속 늦어서 죄송하다, 지연되고 있다, 보이시죠?
하루 이틀이 아니예요,, 투잡 하시다가 과부하 걸리셔서... 처음엔 실드파였지만, 수요웹툰이 금요웹툰이랑, 아니면 그보다 늦게 나올때.. 마음이 돌아서는거죠.."
993,"댓글보기전 : (만화보는느낌)ㅡ..ㅡ

베댓보고난후 : 맞아맞아 스토리가 좀 느린듯"
994,"자,작가님, 대,댓글 좀 보,보,보시고, 의,의견 바,반영 좀 해,해주셨으면 조,조,좋겠습니다.. 푸,푸흡..키킥..!"
995,저 마노아의 가게. 그 칼번의 쿨가이 가알 여동생이 간 곳...덴마가 우라노에서 마노아의 밥상 안 가본 놈 없다고 했던ㄷㄷ
996,여주 정말 뜬구름 위에서 사는 것 같다... 애는 하루종일 울어 재끼는 게 일이라는데 애기도 상상의 동물마냥 순하고... 그냥 작가의 머릿속이 이 모양인 것 같다.
997,덴마 세계관 최강은 역시 총...
998,300화 가까이 유미와 연애했던 세기의 벤츠남 바비! 436화에서 유미에게 프러포즈했는데 437화에서 다은이와 애기낳고 알콩달콩 잘 살다가 438화에선 갑자기 차라리 하지 않았다면 좋았을 연애로 회자되었답니다 껄껄
999,3D 프린터 보급될때까지 기다리느라 연재 중단하신듯
1000,진짜 배신이면 잘가라 여우목도리
1001,저거 설마 남은 삶을 지불하는건 아니겠지? 그 영화 처럼...
1002,"반장없에는스토리 
1.대미궁에서 몬스터의 공격을받아 사망
2.어비스쪽 인간에게 공격받아 사망
3.누군가에게 납치
4.걍없에"
1003,하렘왕 지한이 아빠다에 5억건다
1004,짧은건 사실인데 재밌는것도 사실이고 굳이 별점 테러해야되나 싶다.
1005,"댓글들 태세전환인지 아님 악플러들이 빠진건지ㅋㅋㅋㅋㅋ
개웃기네ㅋ?"
1006,엄마가 진짜 제일 정상적인 인물이다
1007,네이버 사옥에 사식 조공할 분들을 찾습니다. 양형의 감금생활에 보탬이 되고 싶은 소중한 마음을 받습니다.
1008,재미는 오지게 있네
1009,"요즘 스토리 전개되는게 새 국면 맞는거같아서 연재를 9년한 웹툰인데도 설레네ㅋㅋㅋㅋㅋ

감찰국장에서 가이아 노예로 전락한 발락에 8우주에서 제일 OOO한테 쫓길 다이크라니ㅋㅋㅋㅋㅋ 오우 쒯 연재중단만 하지마"
1010,[은주야~]라고 친근하게 부를 정도면 서로 배신하지 않기를
1011,"지금까지 나오는 문제점에 대해 하나씩 톺아보자면

1. 스토리 진행에 필요한 부분이지만 개연성이 부족하거나 필요한 내용에 맞지 않는 질질끄는 내용

사실상 아람이가 마왕으로 각성하는 내용은 필요하지만, 문제는 각성하는데 필요한 액스트라인 암흑왕이 너무op로 나왔다가 별거 없이 한화만에 뚝딱 해치워지곤 개연성 없이 마왕성 하늘이 보인다니라고 신기해 한다.
첫화 나올때 부터 지금까지 봤고 정주행도 3번은 했는데 이부분은 이해가 안갑니다. 사실 암흑왕이라는 액스트라 썼으면 5화안에는 끝나는게 보통이라...
2. 캐릭터들의 힘과 밸런스.
첫번째는 난새.
난새가 마수모드 이후, 신의 힘도 얻었으며 이후 마와 신의 힘을 가진 신 인 마가 합쳐진 존재임에도 불구하고, 작중에서 압도적인 모습을 보여주지 못했음. 사실 아직 완전한 힘이 아니라곤 해도 부족함이 없지않아 있습니다. 또 망고는 신 중에서도 강한 측인 황룡신을 먹고도 지금까지 활약이 전무합니다. 심각해요 이건."
1012,고마워요 인제 결제 안해도 될 것 같아요
1013,최우혁님 꿀 없으면 설탕 한국자 넣어도 되나요?
1014,나 이거 연재할 때 보던 사람임. 이 작가 솔직히 네이버에서 지각 탑 5 안에 들었음. 근데 그 지각하던 이유가 퀄리티 때문이 아니라 게임하다 늦는단 소문이 돌아서 독자들 분노에 불을 지폈음.
1015,"이 정도 퀄리티면 좀 늦을 수 있는거 아니냐고요? 금요웹툰에 ""천년구미호"", 수요웹툰에 ""언더프린"", 목요웹툰에 ""치즈인더트랩"" 등등...이 작품들 창작하시는 작가님들은 굉장한 퀄리티에 칼업뎃을 하시기로 유명하신데, 이분들은 그럼 뭐 초인이라도 되신답니까? 공짜로 보는 주제에 뭔 불만이 많냐고요? 우리는 공짜로 보지만, 이 당시에 작가님은 ""원고료""를 받고 일 하셨던 ""프로 만화가""이셨습니다. 한때 만화가 지망생을 목표로 공부했던 사람으로써, ""프로 만화가""에게 있어서 ""마감 시간""이란 반드시 지켜야 하는 ""철칙""이며, 절대 무너뜨려서는 안되는 나와 회사, 나와 독자의 신뢰의 초석입니다. 그런데 사다함 작가님은 이 당시에 무리한 투잡을 뛰시느라 그러한 것을 지키지 못 하셨으니, 독자들의 신뢰를 잃었고, 그로 인해 ""낮은 별점""이라는 결과가 생긴 것이죠. 참고로 저도 이 작품이 연재 될 때에는 쉴더였지만...너무 잦은 지각에 실망하여 쉴드 치는 것을 포기했던 사람 중 한 명입니다."
1016,생각해보면 텐카는 한국어 발음빼고 완벽함
1017,"감정표현이 진짜 지린다....
백작님이 언제 돌아오실까요라고 물어본걸 가야는 처음에 백작님이 빨리 왔으면 좋겠다는 뜻으로알고 롯한테 물어보려던거였는데 그게 아니라 혼자 있고 싶다는 뜻이었 다는거잖아.. 작가 인성은 별로일지 몰라도 작품하나는 진짜 끝내주게 잘만든다"
1018,273화에서 룰변경 되는 동시에 동태가 미오를 위해서라면 다이서들 얼마든지 pk하겠다는 대사치고 있었음. 그거 듣고있던 지은이는 아마 동태가 룰변경 알게되면 자기 노릴까하는 불안감에 그랬던듯. 그래서 애들이 아직 룰 모르니까 겁낼필요 없다 한거고
1019,입에 묻은 토가 맛있어보였나보네 ㅋㅋㅋㅋㅋ
1020,우동이 결국 데뷔했구나ㅠㅠㅠㅠ퓨ㅠㅠㅠㅠㅠㅠ❤️❤️
1021,매점가자→???→당연히 너지 대사가 쫌 이상하게 이어지는듯
1022,"우린 한번 전설을 만들어봅시다.
현재 별점이 많이 까인 상태
9.9로 복원해봅시다."
1023,!은 짧아 보이지만 세가지 마음이 포함된 콤비네이션 댓글이지
1024,"와 근데 진짜
샵 같은편돼서 엘 수하들 한계치만큼 퀑능력 끌어올리면
개깡패네ㅋㅋㅋ"
1025,최강전설산으로가효
1026,"최강의 퀑군단이라니;;;; 발락 바지 대장인가;
 백사회가 백경대한테 처발린 거 아무도 안알려준거야??"
1027,두번째 선물은 헤글러 머리겠네요. 
1028,"ㄱ...가득 듬뿍...,,채으ㅝ줘엉,.,.,,"
1029,돼지만화로 인해 씬커 떡상ㅋㅋ
1030,오늘만큼 분량이 짧은게 감사했던 날이 없었다 ㅋㅋㅋ 작가님 진심으로 감사합니다.
1031,배댓보내주시면 올해 크리스마스때 엽구리 따뜻할거임
1032,"저 부양가족 베댓 반박해보자면
1.지로는 부양가족이 존재함. 다만 본인이 가족의 소식을 모르고 
노예의 형태로 존재하고 있다 뿐이지.
2.백경대 선발 퀑대회에선 서류심사가존재함.그 서류전형에서 어느형태이건 어떤상황이건 지로에게 3명의 가족이 있다는건 팩트이므로
서류 통과.
3.살아있어! 란 단어의미의 중의적표현에대한 혼돈
보통 생사여부확인의 표현을 떠나 본인때문에 팔려간 가족의 상황을 마침내 접해서 나온 감정적인 표현일뿐. 단어자체의 딱딱한 의미가 아님.
Ex)죽었는지 살았는지 도통 모르겠다.

15초정도만 생각해봐도 설정오류가아니란걸 유추와 짐작을 통해 알 수있음."
1033,순대다!!순대 잘크고있겠죠?!!
1034,"소갈비찜 레시피
1. 소갈비는 5cm정도 길이로 토막 내 찬물에 담가 핏물을 뺴고 건져 기름기를 떼고 간이 잘 배도록 군데군데
    깊숙하게 칼집을 넣어주세요~
2. 무는 큼직하게 깍둑 썰고 밤은 속껍질을 벗기세요~
3. 은행은 겉껍질을 벗기고 기름 두른 팬에 볶아 속껍질을 벗겨주세요~
4. 양념장에 넣을 배즙은 강판에 갈아 거즈에 걸러 놓으세요~
5. 핏물 뺀 갈비를 큼직한 냄비에 담고 잠길 정도로 물을 부어 한번 끓어 오를때까지 한소끔 삶아 건지세요~
6. 찜 할 양념장을 만드는데 오래 끓여 국물이 좋아들면 짜지므로 약간 심심하게 만드는 좋이 좋아요~
7. 살마낸 갈비에 양념장의 2/3분량만 넣고 육수를 부어 고루 섞이도록 뒤적인 다음 한소끔 끓이고 찜 국물이
   끓기 시작하면 무, 밤, 대추, 은행을 한데 담고 남은 양념장을 고루 끼얹어 가면서 버무려 주세요~
8. 7)을 조리듯 쪄 내는데 맛이 들면 찜기에 담고 지단을 얹어 내면 됩니다~^^
"
